2025-12-08 15:50:43.612 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_dataset:196 - Starting fuzzing for dataset: ../experiments/RQ4/respfuzzer_seeds.json
2025-12-08 15:50:43.613 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:calc_initial_seed_coverage_dataset:148 - Calculating initial seed coverage for the dataset....
2025-12-08 15:50:56.782 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:continue_safe_execute:81 - Exiting worker process as instructed.
2025-12-08 15:50:56.850 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:calc_initial_seed_coverage_dataset:184 - Initial coverage after executing all seeds: 81921 bits.
2025-12-08 15:51:01.793 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:_fuzz_dataset:122 - Starting parallel fuzzing with 50 workers for 200 seeds
2025-12-08 15:51:01.799 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1530: numpy.ma.allclose
2025-12-08 15:51:01.800 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1531: numpy.ma.allequal
2025-12-08 15:51:01.841 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1211: numpy.strings.endswith
2025-12-08 15:51:01.843 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1278: numpy._core.multiarray.get_handler_version
2025-12-08 15:51:01.835 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1205: numpy.printoptions
2025-12-08 15:51:01.847 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1009: numpy.polynomial.polynomial.polymulx
2025-12-08 15:51:01.852 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1495: numpy.ma.extras.clump_masked
2025-12-08 15:51:01.860 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1585: numpy.ma.putmask
2025-12-08 15:51:01.864 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1212: numpy.strings.startswith
2025-12-08 15:51:01.872 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1173: numpy.char.find
2025-12-08 15:51:01.928 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1619: numpy.ma.mask_rows
2025-12-08 15:51:01.970 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1343: numpy._core.numeric.full
2025-12-08 15:51:02.010 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1550: numpy.ma.isMaskedArray
2025-12-08 15:51:02.014 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1047: numpy.polynomial.chebyshev.chebval3d
2025-12-08 15:51:02.016 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1183: numpy.char.rpartition
2025-12-08 15:51:02.026 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1295: numpy._core._multiarray_umath.promote_types
